Film Description,Genre,IMDB
 (2014) სიბნელიდან - Out of the Dark,"საშინელება, ტრილერი",IMDB: 4.7
 (2022) იქორწინე ჩემზე - Marry Me,"მელოდრამა, მუსიკალური, კომედია",IMDB: 6.1
 (2021) კოდა - CODA,"დრამა, მუსიკალური, კომედია",IMDB: 8
 (2021) ჰელოუინი კლავს - Halloween Kills,"საშინელება, ტრილერი",IMDB: 5.5
 (2022) სასწრაფო დახმარება - Ambulance,"დრამა, მძაფრ-სიუჟეტიანი, კრიმინალური",IMDB: 6.1
 (2022) გამოსაშვები საღამო - Senior Year,"დრამა, კომედია",IMDB: 5.6
 (2022) შავი სინათლე - Blacklight,"მძაფრ-სიუჟეტიანი, ტრილერი",IMDB: 4.7
 (2022) ძაღლი - Dog,"დრამა, კომედია",IMDB: 6.5
 (2021) კოშმარული ხეივანი - Nightmare Alley,"დრამა, ტრილერი, კრიმინალური",IMDB: 7.1
 (2022) დიდი გამყინვარება 6: ბაკ უაილდის თავგადასავალი - The Ice Age Adventures of Buck Wild,"ანიმაციური , სათავგადასავლო, კომედია",IMDB: 4.3
 (2022) X - X,"საშინელება, ტრილერი",IMDB: 6.7
 (2021) ღმერთის ეგზორციზმი - The Exorcism of God,"დრამა, საშინელება",IMDB: 5.3
 (2022) 365 დღე: ეს დღე - 365 Days: This Day,"დრამა, მელოდრამა",IMDB: 2.5
 (2021) გუჩის სახლი - House of Gucci,"დრამა, კრიმინალური",IMDB: 6.6
 (2022) ტურისტები - Backpackers,"მელოდრამა, კომედია",IMDB: 5.7
 (2022) უსასრულო ქარიშხალი - Infinite Storm,"დრამა, ტრილერი",IMDB: 5.2
 (2011) ექსტრასენსი - The Awakening,"საშინელება, ტრილერი",IMDB: 6.4
 (2022) ძველი დანები - All the Old Knives,ტრილერი,IMDB: 6.1
 (2020) დაარსება - Initiation,"საშინელება, კრიმინალური, მისტიკა",IMDB: 5
 (2022) კონტრაქტორი - The Contractor,"მძაფრ-სიუჟეტიანი, ტრილერი",IMDB: 5.7
 (2012) გამბიტი - Gambit,"კრიმინალური, კომედია",IMDB: 5.7
 (2022) მთვარის ვარდნა - Moonfall,"მძაფრ-სიუჟეტიანი, სათავგადასავლო, ფანტასტიკა",IMDB: 5.2
 (2020) დე გოლი - De Gaulle,"დრამა, ისტორიული, ბიოგრაფიული",IMDB: 6.1
 (2022) სიყვარულის ტაქტიკა - Love Tactics,მელოდრამა,IMDB: 5.2
 (2022) ეკლექტური ფრაგმენტები - Eclectic Fragments,"დრამა, კომედია, ბიოგრაფიული",IMDB: 0
 (2021) მეფე რიჩარდი - King Richard,"დრამა, სპორტული, ბიოგრაფიული",IMDB: 7.5
 (2022) სიკვდილი ნილოსზე - Death on the Nile,"დრამა, კრიმინალური, მისტიკა",IMDB: 6.5
 (2022) კარგ ხელში - In Good Hands,"დრამა, კომედია",IMDB: 5.5
 (2022) მხსნელი რუბი - Rescued by Ruby,"დრამა, ბიოგრაფიული",IMDB: 7.2
 (2022) ახალი - Fresh,"საშინელება, ტრილერი, კომედია",IMDB: 6.7
 (2020) გაძევება - The Banishing,"საშინელება, ტრილერი",IMDB: 4.5
 (2021) ნდობა - Trust,"დრამა, მელოდრამა, ტრილერი",IMDB: 5.3
 (2021) სამოთხის სამხრეთით - South of Heaven,"დრამა, მძაფრ-სიუჟეტიანი, კრიმინალური",IMDB: 5.7
 (2022) პროექტი “ადამი” - The Adam Project,"მძაფრ-სიუჟეტიანი, სათავგადასავლო, კომედია",IMDB: 6.9
 (2021) ენკანტო - Encanto,"ანიმაციური , კომედია",IMDB: 7.3
 (2021) კინგს მენი - The King's Man,"მძაფრ-სიუჟეტიანი, სათავგადასავლო, ტრილერი",IMDB: 6.4
 (2021) სპენსერი - Spencer,"დრამა, ბიოგრაფიული",IMDB: 6.7
 (2021) მოხუცი ჰენრი - Old Henry,"ტრილერი, ვესტერნი",IMDB: 7.3
 (2021) მშვიდი წყალი - Stillwater,"დრამა, ტრილერი, კრიმინალური",IMDB: 6.6
 (2021) კამიარის თვის შვილი - Kamiarizuki no kodomo,"ანიმაციური , დრამა, ფანტასტიკა",IMDB: 5.9
 (2022) გასასვლელი არ არის - No Exit,"დრამა, ტრილერი, მისტიკა",IMDB: 6.1
 (2022) მაღალი გოგო 2 - Tall Girl 2,"დრამა, კომედია",IMDB: 4.7
" (2022) მინდა, რომ დაბრუნდე - I Want You Back","მელოდრამა, კომედია",IMDB: 6.6
 (2022) ცა არის ყველგან - The Sky Is Everywhere,"დრამა, მელოდრამა, მუსიკალური",IMDB: 5.6
 (2021) ეიფელი - Eiffel,"დრამა, ისტორიული, ბიოგრაფიული",IMDB: 6.2
 (2021) ტროლებზე მონადირეები: ტიტანების აჯანყება - Trollhunters: Rise of the Titans,"ანიმაციური , მძაფრ-სიუჟეტიანი, სათავგადასავლო",IMDB: 6.8
 (2022) ტეხასური ჟლეტა ხერხით - Texas Chainsaw Massacre,"საშინელება, ტრილერი, კრიმინალური",IMDB: 5
 (2022) ჩაკეტილი - Shut In,"დრამა, საშინელება, ტრილერი",IMDB: 6.6
 (2021) იყო რიკარდო - Being the Ricardos,"დრამა, ისტორიული, ბიოგრაფიული",IMDB: 6.6
 (2019) როგორ მოვათვინიეროთ დრაკონი: სახლში დაბრუნება - How to Train Your Dragon: Homecoming,"ანიმაციური , მძაფრ-სიუჟეტიანი",IMDB: 7.4
 (2019) უცხოთა სიკეთე - The Kindness of Strangers,დრამა,IMDB: 6.5
 (2022) კიმი - Kimi,"დრამა, ტრილერი, კრიმინალური",IMDB: 6.3
 (2022) რეი დონოვანი: ფილმი - Ray Donovan: The Movie,დრამა,IMDB: 6.9
 (2022) ისინი ვინც მიდიან - Those Who Walk Away,"დრამა, საშინელება, ტრილერი",IMDB: 6.9
 (2021) ტროლების დღესასწაული - Trolls Holiday in Harmony,"ანიმაციური , სათავგადასავლო, საბავშვო",IMDB: 6.4
 (2022) სიყვარულის წიგნი - Book of Love,"მელოდრამა, კომედია",IMDB: 5.5
" (2022) სიყვარული, როგორც გამოსყიდვა - Redeeming Love","დრამა, ისტორიული, მელოდრამა",IMDB: 6.6
 (2022) ინტერვალი - The In Between,"დრამა, ფანტასტიკა, მელოდრამა",IMDB: 5.7
 (2021) ჩასუნთქვა - A Mouthful of Air,დრამა,IMDB: 6
 (2021) სუპერჰოსტი - Superhost,"საშინელება, ტრილერი",IMDB: 5.6
 (2021) შავი ყუთი - Black Box,"დრამა, ტრილერი, მისტიკა",IMDB: 7.3
 (2022) ჩემი ფანჯრიდან - Through My Window,"დრამა, მელოდრამა, კომედია",IMDB: 5.5
 (2021) მოჩვენებებზე მონადირეები: შთამომავლები - Ghostbusters: Afterlife,"სათავგადასავლო, ფანტასტიკა, კომედია",IMDB: 7.3
 (2021) მიუნხენი: ომის ზღვარი - Munich: The Edge of War,"დრამა, ისტორიული, ბიოგრაფიული",IMDB: 6.9
 (2022) სახლი - The House,"ანიმაციური , დრამა, კომედია",IMDB: 7
 (2020) ვერცხლის ციგურები - Silver Skates,"დრამა, სათავგადასავლო",IMDB: 7.1
 (2022) სასტუმრო ტრანსილვანია: ტრანსფორმანია - Hotel Transylvania: Transformania,"ანიმაციური , სათავგადასავლო, კომედია",IMDB: 6.1
 (2021) გასულ ღამეს სოჰოში - Last Night in Soho,"დრამა, საშინელება, მისტიკა",IMDB: 7.2
 (2021) წყალქვეშა სახლი - The Deep House,"დრამა, საშინელება, მისტიკა",IMDB: 5.4
 (2006) საიდუმლო - The Secret,დოკუმენტური,IMDB: 5.6
 (2021) ბოროტების სავანე: კეთილი იყოს თქვენი მობრძანება რაკუნ-სიტიში - Resident Evil: Welcome to Raccoon City,"მძაფრ-სიუჟეტიანი, ფანტასტიკა, საშინელება",IMDB: 5.2
 (2021) ძვირფასი ბარი - The Tender Bar,დრამა,IMDB: 6.8
 (2021) ამერიკული ალყა - American Siege,"მძაფრ-სიუჟეტიანი, ტრილერი",IMDB: 3.7
 (2020) შენს ძებნაში - Finding You,"დრამა, მელოდრამა",IMDB: 6.2
 (2021) ბოლო გამოხედვა - Last Looks,"მძაფრ-სიუჟეტიანი, კრიმინალური, მისტიკა",IMDB: 5.6
 (2021) მარადიულნი - Eternals,"დრამა, მძაფრ-სიუჟეტიანი, სათავგადასავლო",IMDB: 6.7
 (2021) ძაღლის ძალა - The Power of the Dog,"დრამა, მელოდრამა, ვესტერნი",IMDB: 7
 (2020) CBD ნაცია - CBD Nation,დოკუმენტური,IMDB: 7.8
 (2019) ჩვენი კანაფი - Canapa nostra,დოკუმენტური,IMDB: 0
 (2021) დახმარება - Help,დრამა,IMDB: 7.8
 (2021) შობა ფელისიტისთან ერთად - Christmas with Felicity,"დრამა, მელოდრამა",IMDB: 5.2
 (2021) ვენომი 2: დაე იყოს ქარნეიჯი - Venom: Let There Be Carnage,"მძაფრ-სიუჟეტიანი, ფანტასტიკა, საშინელება",IMDB: 6
 (2021) საშობაო სასწაული დეიზისთვის - A Christmas Miracle for Daisy,მელოდრამა,IMDB: 7.1
 (2021) საშობაო კალენდარი - The Advent Calendar,"საშინელება, ტრილერი",IMDB: 6.5
 (2021) ცხრა საშობაო კნუტი - The Nine Kittens of Christmas,"ფანტასტიკა, კომედია",IMDB: 6.7
 (2021) ზემოთ არ აიხედო - Don't Look Up,"დრამა, ფანტასტიკა, კომედია",IMDB: 7.3
 (2021) გრგვინვა - Rumble,"ანიმაციური , კომედია",IMDB: 5.8
 (2021) კონტაქტი - Encounter,"ფანტასტიკა, ტრილერი",IMDB: 5.8
 (2021) დაწყევლილები - The Accursed,"დრამა, საშინელება, მისტიკა",IMDB: 6.6
 (2021) ციხესიმაგრე - Fortress,"მძაფრ-სიუჟეტიანი, ტრილერი",IMDB: 3.3
 (2021) რძე: არჩევანი თავად გააკეთე. - Milk: Make Your Own Mind Up,დოკუმენტური,IMDB: 8.5
 (2021) ენერგია - The Power,საშინელება,IMDB: 5.5
 (2021) სიძულვილის თამაში - The Hating Game,"მელოდრამა, კომედია",IMDB: 6.6
 (2021) კარგი ქურდი - Good Thief,"დრამა, მელოდრამა",IMDB: 4.1
 (2021) ირმის რქები - Antlers,"დრამა, საშინელება, მისტიკა",IMDB: 6.1
 (2021) უპატიებელი - The Unforgivable,"დრამა, კრიმინალური",IMDB: 7.2
 (2021) 007: სიკვდილის დრო არ არის - No Time to Die,"მძაფრ-სიუჟეტიანი, სათავგადასავლო, ტრილერი",IMDB: 7.4
 (2020) მე შევხვდი გოგონას - I Met a Girl,"დრამა, მელოდრამა",IMDB: 6.1
" (2021) შემდეგი გაჩერება, შობა - Next Stop, Christmas","დრამა, ფანტასტიკა, კომედია",IMDB: 7.3
 (2021) დედამიწის შეცვლის წელი - The Year Earth Changed,დოკუმენტური,IMDB: 8.3
 (2021) უკანასკნელი დაცემული ადამიანი - Last Man Down,მძაფრ-სიუჟეტიანი,IMDB: 5.3
 (2021) საშიში - Dangerous,"მძაფრ-სიუჟეტიანი, ტრილერი",IMDB: 5
 (2021) კოცნა შობის წინ ქართულად - A Kiss Before Christmas,"დრამა, მელოდრამა",IMDB: 7.5
 (2021) სასახლე საშობაოდ - A Castle for Christmas,"სათავგადასავლო, კომედია",IMDB: 5.5
 (2021) მოგონება - Reminiscence,"ფანტასტიკა, მელოდრამა, მისტიკა",IMDB: 5.9
 (2021) 8 ბიტიანი შობა - 8-Bit Christmas,"ფანტასტიკა, კომედია",IMDB: 6.7
 (2021) ბიჭი სახელად შობა - A Boy Called Christmas,"დრამა, სათავგადასავლო",IMDB: 6.8
 (2021) ტემი ფეის თვალები - The Eyes of Tammy Faye,"დრამა, ისტორიული, ბიოგრაფიული",IMDB: 6.8
 (2021) პრინცესას შეცვლა 3 - The Princess Switch 3,"დრამა, კომედია",IMDB: 5.6
 (2021) მწვერვალი - Apex,"მძაფრ-სიუჟეტიანი, ტრილერი",IMDB: 3.2
 (2021) ბოროტი - Malignant,"საშინელება, კრიმინალური, მისტიკა",IMDB: 6.3
 (2021) წითელი ცირკულარი - Red Notice,"მძაფრ-სიუჟეტიანი, სათავგადასავლო, კომედია",IMDB: 6.5
 (2021) ფორსაჟი 9 - Fast & Furious 9,"მძაფრ-სიუჟეტიანი, სათავგადასავლო, კრიმინალური",IMDB: 5.2
 (2021) შანგ-ჩი და ათი ბეჭდის ლეგენდა - Shang-Chi and the Legend of the Ten Rings,"მძაფრ-სიუჟეტიანი, სათავგადასავლო, ფანტასტიკა",IMDB: 7.8
 (2021) გიყვარდეს ძლიერ - Love Hard,"მელოდრამა, კომედია",IMDB: 6.5
 (2021) წყევლა: ეს ეშმაკმა მაიძულა - The Conjuring: The Devil Made Me Do It,"საშინელება, ტრილერი, მისტიკა",IMDB: 6.3
 (2021) ფინჩი - Finch,"დრამა, სათავგადასავლო, ფანტასტიკა",IMDB: 7
 (2021) თვითმკვლელთა რაზმი - The Suicide Squad,"მძაფრ-სიუჟეტიანი, სათავგადასავლო, ფანტასტიკა",IMDB: 7.3
 (2020) ცხრა დღე - Nine Days,"დრამა, ფანტასტიკა",IMDB: 7.1
 (2021) მოგზაურობა - The Trip,"მძაფრ-სიუჟეტიანი, საშინელება, კომედია",IMDB: 6.9
